ImgNum,KptDetector,TotalNumOfKpts,DetectionTime,NumrOfKptsInROI,DescriptorType,ExtractionTime,Matcher,Selector,NumOfMatches,MatchingTime
Evaluate detector SHITOMASI and descriptor BRISK
9,AKAZE,1331,66.8675,179,FREAK,40.7946,BF,KNN,117,1.00537
Evaluate detector AKAZE and descriptor AKAZE
0,AKAZE,1351,69.7869,166,AKAZE,55.687
1,AKAZE,1327,71.4201,157,AKAZE,61.4603,BF,KNN,128,0.764297
2,AKAZE,1311,67.0705,161,AKAZE,57.0235,BF,KNN,128,0.816817
3,AKAZE,1351,62.7779,155,AKAZE,57.1029,BF,KNN,125,0.759758
4,AKAZE,1360,78.0914,163,AKAZE,62.994,BF,KNN,117,0.881742
5,AKAZE,1347,66.9541,164,AKAZE,60.5892,BF,KNN,121,0.77877
6,AKAZE,1363,72.4583,173,AKAZE,61.5531,BF,KNN,132,0.932753
7,AKAZE,1331,63.9679,175,AKAZE,52.7531,BF,KNN,137,0.967331
8,AKAZE,1357,65.0974,177,AKAZE,55.6629,BF,KNN,140,0.863695
9,AKAZE,1331,57.338,179,AKAZE,49.2322,BF,KNN,144,1.0237
Evaluate detector AKAZE and descriptor SIFT
0,AKAZE,1351,72.2431,166,SIFT,23.3744
1,AKAZE,1327,69.6614,157,SIFT,23.5461,BF,KNN,134,0.605275
2,AKAZE,1311,72.5786,161,SIFT,23.6256,BF,KNN,134,0.543761
3,AKAZE,1351,68.8318,155,SIFT,23.7962,BF,KNN,130,0.813539
4,AKAZE,1360,76.8231,163,SIFT,23.3787,BF,KNN,136,0.526472
5,AKAZE,1347,73.2632,164,SIFT,22.3868,BF,KNN,137,0.627433
6,AKAZE,1363,70.0255,173,SIFT,24.0429,BF,KNN,147,0.666078
7,AKAZE,1331,70.6836,175,SIFT,24.3179,BF,KNN,147,0.633651
8,AKAZE,1357,70.6182,177,SIFT,28.7576,BF,KNN,154,0.674741
9,AKAZE,1331,67.6015,179,SIFT,29.4867,BF,KNN,151,0.722188
Evaluate detector SIFT and descriptor BRISK
0,SIFT,1438,120.789,138,BRISK,1.66287
1,SIFT,1371,124.83,132,BRISK,1.6743,BF,KNN,57,0.727595
2,SIFT,1380,120.341,124,BRISK,1.44854,BF,KNN,63,0.761061
